Author,TP,TN,FP,FN
Zukowski 2013,3,65,10,0
Yanovski 1998,16,19,1,4
Yaneva 2009,24,69,5,6
Yaneva 2004,63,54,0,0
Viardot 2005,12,49,1,0
Valassi 2009,52,14,21,3
Tsagarakis 1998,57,81,4,3
Tous 2012,14,40,24,3
Tirabassi 2011,16,3,6,2
Tirabassi 2010,41,31,28,11
Tang 2013,74,40,7,3
Tamada 2018,8,103,7,4
Subeska-Stratrova 1993,10,33,2,0
Sturmer 2018,6,20,7,1
Shapiro 1972,3,18,0,0
Sereg 2011,18,44,1,1
Samuels 2000,8,12,7,1
Rollin 2015,61,45,12,7
Reimondo 2008,12,15,0,4
Reimondo 2005,57,27,1,21
Raff 1998,38,30,7,1
Putignano JEI 2003,57,97,20,1
Putignano JCEM 2003,40,221,38,1
Pecori Giraldi 2007,31,10,13,1
Papanicolaou 2002,114,25,7,7
Papanicolaou 1998,199,5,17,22
Odagiri 1975,7,69,0,0
Nishikawa 1980,1,10,0,0
Ng 2017,14,67,11,7
Nakamura 1989,11,285,3,0
Nakamura 1985,3,4,0,0
Nakamura 1982,1,32,0,0
Mugnier 1997,19,38,1,0
Moro 2000,70,64,33,6
Martin 2006,10,11,6,1
Manetti 2013,23,87,2,2
Malerbi 1996,13,10,0,1
Luo 1984,6,76,5,0
Lo 2015,21,31,7,2
Lin 1997,22,101,0,7
Leon-Justel 2011,27,42,4,4
Kreze 1984,16,84,4,0
Kola 2000,11,43,7,0
Kohek 1998,52,96,0,1
Kennedy 1984,11,31,0,1
Jarial 2018,34,15,1,1
Itsuji 1997,7,30,0,0
Holleman 2005,15,117,9,1
Gunes 2013,56,69,22,31
Friedman 1995,20,9,19,0
Erickson 2012,39,136,22,6
Elmlinger 1997,11,48,2,0
Elias 2014,42,14,4,10
Eisenhofer 2018,62,119,7,14
Dunlap 1985,18,25,0,0
Deutschbein 2011,12,118,2,0
Desai 1987,9,21,0,0
Deck 1976,10,18,0,0
de Pedrazzini 1983,5,2,0,0
Cunningham 2002,30,17,11,1
Corcuff 1998,34,86,0,6
Coiro 2000,6,0,8,0
Ceccato 2018,46,42,33,1
Ceccato 2015,37,90,9,1
Ceccato 2014,33,128,2,0
Carrozza 2010,19,11,1,2
Cardoso 2013,23,226,0,2
Brossaud 2018,20,74,4,0
Brossaud 2016,26,181,10,0
Bretherton 2016,9,46,11,3
Boscaro 1978,18,25,2,0
Borsi 1976,11,22,0,0
Bonnin 1993,13,19,5,1
Arnaldi 2009,49,31,26,9
Aranda 2016,25,54,38,8
Allin 1984,4,43,0,0